RunID,Junge,n,mua,mus,DomainX,DomainY,DomainZ,SourceX,SourceY,SourceZ,TotalSignal,MeanBinWeight,MedianBinWeight,StdBinWeight,MinBinWeight,MaxBinWeight,PeakPosition,WeightedMeanPosition,WeightedMedianPosition,WeightedStdPosition,WeightedSkewness,WeightedKurtosis
run_000102,3.4,1.1,0.002,0.02,100,30,70,1,15,50,10660.18935,106.6018935,115.6459885,59.18698975,1.825459719,204.3075256,90.5,65.61967791,68.5,23.31215393,-0.4962774215,2.359089011
run_000103,3.4,1.1,0.002,0.02,100,30,75,1,15,50,6802.281623,68.02281623,69.53782272,39.97893088,0.9485130906,140.451828,96.5,66.58822536,70.5,23.36051432,-0.5610327339,2.435780262
run_000104,3.4,1.1,0.002,0.02,100,30,80,1,15,50,4766.04658,47.6604658,47.35167694,27.9939486,1.840589404,101.0305481,96.5,66.43982483,70.5,23.53847767,-0.5729398717,2.441183199
run_000105,3.4,1.1,0.002,0.02,100,30,85,1,15,50,3495.075611,34.95075611,36.4030571,21.86716843,1.825428009,78.30743408,99.5,67.49339022,71.5,23.17857016,-0.6205854513,2.539758756
run_000106,3.4,1.1,0.002,0.02,100,30,90,1,15,50,2554.524319,25.54524319,24.96510315,16.20441501,0,59.02829361,95.5,67.68312507,71.5,23.03440952,-0.6307710845,2.559626238
run_000107,3.4,1.1,0.002,0.02,100,30,95,1,15,50,1997.961853,19.97961853,19.56020832,12.40624291,0,48.09741211,98.5,66.73407192,70.5,23.59975165,-0.5770950373,2.419411227
run_000108,3.4,1.1,0.002,0.02,100,30,100,1,15,50,1656.522011,16.56522011,15.07342386,10.82678497,0,42.63302612,82.5,67.67262059,72.5,23.78176303,-0.659598384,2.520497558
run_000109,3.4,1.1,0.0025,0.02,100,30,60,1,15,50,33132.03659,331.3203659,386.8349457,151.7839507,8.447370529,528.9107056,99.5,62.42409768,64.5,23.95487793,-0.3300651009,2.149734564
run_000110,3.4,1.1,0.0025,0.02,100,30,65,1,15,50,17101.07962,171.0107962,183.318779,88.72189746,0.9601231813,308.7627563,91.5,64.56429753,67.5,23.63775514,-0.4499294592,2.265728818
run_000111,3.4,1.1,0.0025,0.02,100,30,70,1,15,50,10229.64202,102.2964202,110.1629791,56.03322018,0,190.3043518,98.5,65.26112929,68.5,23.1704897,-0.477719667,2.351395577
run_000112,3.4,1.1,0.0025,0.02,100,30,75,1,15,50,6531.183192,65.31183192,67.14754486,37.51111518,0.932333529,130.9623108,96.5,66.15568062,69.5,23.35987112,-0.530382403,2.388930965
run_000113,3.4,1.1,0.0025,0.02,100,30,80,1,15,50,4597.24298,45.9724298,48.48147774,27.00021917,0.918386519,92.67803192,99.5,66.42101852,70.5,23.37326412,-0.5360901938,2.399681073
run_000114,3.4,1.1,0.0025,0.02,100,30,85,1,15,50,3338.772192,33.38772192,34.42825508,19.7154576,0.9097332954,74.53993988,95.5,66.48740664,70.5,23.58881281,-0.579749869,2.483074627
